-----Epoch 0 开始训练-----

Total step : 23000      Batch loss: 2.9303      Epoch average loss: 3.8084
Total step : 23100      Batch loss: 3.0489      Epoch average loss: 3.8063
Total step : 23200      Batch loss: 4.5542      Epoch average loss: 3.8040
Total step : 23300      Batch loss: 3.3401      Epoch average loss: 3.8017
Total step : 23400      Batch loss: 3.1662      Epoch average loss: 3.7993
Total step : 23500      Batch loss: 2.6764      Epoch average loss: 3.7970
Total step : 23600      Batch loss: 2.6671      Epoch average loss: 3.7947
Total step : 23700      Batch loss: 2.9243      Epoch average loss: 3.7923
Total step : 23800      Batch loss: 3.5468      Epoch average loss: 3.7902
Total step : 23900      Batch loss: 3.2352      Epoch average loss: 3.7879
Total step : 24000      Batch loss: 3.6895      Epoch average loss: 3.7856
Total step : 24100      Batch loss: 4.3886      Epoch average loss: 3.7832
Total step : 24200      Batch loss: 3.2079      Epoch average loss: 3.7811
Total step : 24300      Batch loss: 3.7145      Epoch average loss: 3.7789
Total step : 24400      Batch loss: 3.0632      Epoch average loss: 3.7767
Total step : 24500      Batch loss: 3.1709      Epoch average loss: 3.7745
Total step : 24600      Batch loss: 3.0023      Epoch average loss: 3.7724
Total step : 24700      Batch loss: 3.1191      Epoch average loss: 3.7702
Total step : 24800      Batch loss: 2.7201      Epoch average loss: 3.7680
Total step : 24900      Batch loss: 2.7567      Epoch average loss: 3.7659
Total step : 25000      Batch loss: 4.1354      Epoch average loss: 3.7635
Total step : 25100      Batch loss: 3.2568      Epoch average loss: 3.7614
Total step : 25200      Batch loss: 2.6140      Epoch average loss: 3.7591
Total step : 25300      Batch loss: 3.4556      Epoch average loss: 3.7568
Total step : 25400      Batch loss: 3.0039      Epoch average loss: 3.7546
Total step : 25500      Batch loss: 2.9060      Epoch average loss: 3.7525
Total step : 25600      Batch loss: 3.0734      Epoch average loss: 3.7505
Total step : 25700      Batch loss: 3.2113      Epoch average loss: 3.7484
Total step : 25800      Batch loss: 3.9149      Epoch average loss: 3.7465
Total step : 25900      Batch loss: 2.9559      Epoch average loss: 3.7440
Total step : 26000      Batch loss: 3.5874      Epoch average loss: 3.7418
Total step : 26100      Batch loss: 3.0112      Epoch average loss: 3.7395
Total step : 26200      Batch loss: 3.2411      Epoch average loss: 3.7374
Total step : 26300      Batch loss: 2.9667      Epoch average loss: 3.7349
Total step : 26400      Batch loss: 2.7938      Epoch average loss: 3.7329
Total step : 26500      Batch loss: 2.8812      Epoch average loss: 3.7312
Total step : 26600      Batch loss: 2.7078      Epoch average loss: 3.7289
Total step : 26700      Batch loss: 2.9460      Epoch average loss: 3.7270
Total step : 26800      Batch loss: 2.6689      Epoch average loss: 3.7250
Total step : 26900      Batch loss: 2.6347      Epoch average loss: 3.7226
Total step : 27000      Batch loss: 3.3366      Epoch average loss: 3.7204
Total step : 27100      Batch loss: 3.5114      Epoch average loss: 3.7187
Total step : 27200      Batch loss: 2.4199      Epoch average loss: 3.7166
Total step : 27300      Batch loss: 2.8036      Epoch average loss: 3.7146
Total step : 27400      Batch loss: 3.8488      Epoch average loss: 3.7130
Total step : 27500      Batch loss: 3.2601      Epoch average loss: 3.7113
Total step : 27600      Batch loss: 3.2077      Epoch average loss: 3.7094
Total step : 27700      Batch loss: 4.4751      Epoch average loss: 3.7074
Total step : 27800      Batch loss: 3.0831      Epoch average loss: 3.7053
Total step : 27900      Batch loss: 3.1371      Epoch average loss: 3.7037
Total step : 28000      Batch loss: 3.0775      Epoch average loss: 3.7016
Total step : 28100      Batch loss: 3.3956      Epoch average loss: 3.6995
Total step : 28200      Batch loss: 4.0322      Epoch average loss: 3.6977
Total step : 28300      Batch loss: 2.9263      Epoch average loss: 3.6957
Total step : 28400      Batch loss: 3.1966      Epoch average loss: 3.6939
Total step : 28500      Batch loss: 3.6531      Epoch average loss: 3.6922
Total step : 28600      Batch loss: 2.9865      Epoch average loss: 3.6904
Total step : 28700      Batch loss: 3.2796      Epoch average loss: 3.6886
Total step : 28800      Batch loss: 2.9661      Epoch average loss: 3.6868
Total step : 28900      Batch loss: 3.0493      Epoch average loss: 3.6848
Total step : 29000      Batch loss: 4.1250      Epoch average loss: 3.6828
Total step : 29100      Batch loss: 2.9240      Epoch average loss: 3.6808
Total step : 29200      Batch loss: 3.3287      Epoch average loss: 3.6785
Total step : 29300      Batch loss: 3.1195      Epoch average loss: 3.6767
Total step : 29400      Batch loss: 3.1560      Epoch average loss: 3.6746
Total step : 29500      Batch loss: 2.8728      Epoch average loss: 3.6727
Total step : 29600      Batch loss: 3.0542      Epoch average loss: 3.6709
Total step : 29700      Batch loss: 3.1033      Epoch average loss: 3.6690
Total step : 29800      Batch loss: 2.8449      Epoch average loss: 3.6673
Total step : 29900      Batch loss: 2.7393      Epoch average loss: 3.6654
Total step : 30000      Batch loss: 3.0458      Epoch average loss: 3.6634
Total step : 30100      Batch loss: 2.9396      Epoch average loss: 3.6614
Total step : 30200      Batch loss: 2.6729      Epoch average loss: 3.6600
Total step : 30300      Batch loss: 2.3521      Epoch average loss: 3.6584
Total step : 30400      Batch loss: 3.2010      Epoch average loss: 3.6565
Total step : 30500      Batch loss: 3.6410      Epoch average loss: 3.6547
Total step : 30600      Batch loss: 3.2143      Epoch average loss: 3.6529
Total step : 30700      Batch loss: 3.9482      Epoch average loss: 3.6512
Total step : 30800      Batch loss: 2.7471      Epoch average loss: 3.6494
Total step : 30900      Batch loss: 3.0938      Epoch average loss: 3.6476
Total step : 31000      Batch loss: 3.1976      Epoch average loss: 3.6455
Total step : 31100      Batch loss: 2.9230      Epoch average loss: 3.6435
Total step : 31200      Batch loss: 2.8370      Epoch average loss: 3.6418
Total step : 31300      Batch loss: 2.8815      Epoch average loss: 3.6402
Total step : 31400      Batch loss: 2.8205      Epoch average loss: 3.6385
Total step : 31500      Batch loss: 2.9998      Epoch average loss: 3.6367
Total step : 31600      Batch loss: 2.8690      Epoch average loss: 3.6351
Total step : 31700      Batch loss: 2.7194      Epoch average loss: 3.6335
Total step : 31800      Batch loss: 2.8702      Epoch average loss: 3.6318
Total step : 31900      Batch loss: 2.7537      Epoch average loss: 3.6300
Total step : 32000      Batch loss: 2.7433      Epoch average loss: 3.6284
Total step : 32100      Batch loss: 2.9027      Epoch average loss: 3.6268
Total step : 32200      Batch loss: 2.9650      Epoch average loss: 3.6252
Total step : 32300      Batch loss: 2.8783      Epoch average loss: 3.6237
Total step : 32400      Batch loss: 2.7647      Epoch average loss: 3.6220
Total step : 32500      Batch loss: 2.8095      Epoch average loss: 3.6202
Total step : 32600      Batch loss: 3.1301      Epoch average loss: 3.6185
Total step : 32700      Batch loss: 2.6326      Epoch average loss: 3.6170
Total step : 32800      Batch loss: 3.2580      Epoch average loss: 3.6151
Total step : 32900      Batch loss: 2.6692      Epoch average loss: 3.6136
Total step : 33000      Batch loss: 2.6543      Epoch average loss: 3.6122
Total step : 33100      Batch loss: 2.8867      Epoch average loss: 3.6105
Total step : 33200      Batch loss: 2.5228      Epoch average loss: 3.6090
Total step : 33300      Batch loss: 2.8286      Epoch average loss: 3.6075
Total step : 33400      Batch loss: 4.2129      Epoch average loss: 3.6060
Total step : 33500      Batch loss: 4.3021      Epoch average loss: 3.6042
Total step : 33600      Batch loss: 2.5149      Epoch average loss: 3.6025
Total step : 33700      Batch loss: 3.1707      Epoch average loss: 3.6009
Total step : 33800      Batch loss: 3.0253      Epoch average loss: 3.5993
Total step : 33900      Batch loss: 3.3242      Epoch average loss: 3.5978
Total step : 34000      Batch loss: 3.0488      Epoch average loss: 3.5959
Total step : 34100      Batch loss: 2.7900      Epoch average loss: 3.5943
Total step : 34200      Batch loss: 2.8028      Epoch average loss: 3.5927
Total step : 34300      Batch loss: 2.6044      Epoch average loss: 3.5909
Total step : 34400      Batch loss: 2.8339      Epoch average loss: 3.5889
Total step : 34500      Batch loss: 2.6721      Epoch average loss: 3.5874
Total step : 34600      Batch loss: 2.5457      Epoch average loss: 3.5858
Total step : 34700      Batch loss: 2.9189      Epoch average loss: 3.5842
Total step : 34800      Batch loss: 3.6962      Epoch average loss: 3.5827
Total step : 34900      Batch loss: 3.2131      Epoch average loss: 3.5812
Total step : 35000      Batch loss: 2.9819      Epoch average loss: 3.5798
Total step : 35100      Batch loss: 3.4769      Epoch average loss: 3.5782
Total step : 35200      Batch loss: 2.9572      Epoch average loss: 3.5766
Total step : 35300      Batch loss: 3.7336      Epoch average loss: 3.5753
Total step : 35400      Batch loss: 2.8377      Epoch average loss: 3.5738
Total step : 35500      Batch loss: 2.3702      Epoch average loss: 3.5723
Total step : 35600      Batch loss: 2.8726      Epoch average loss: 3.5710
Total step : 35700      Batch loss: 2.9723      Epoch average loss: 3.5693
Total step : 35800      Batch loss: 2.9800      Epoch average loss: 3.5680
Total step : 35900      Batch loss: 2.9482      Epoch average loss: 3.5663
Total step : 36000      Batch loss: 4.2035      Epoch average loss: 3.5646
Total step : 36100      Batch loss: 3.1469      Epoch average loss: 3.5631
Total step : 36200      Batch loss: 4.3510      Epoch average loss: 3.5617
Total step : 36300      Batch loss: 2.9906      Epoch average loss: 3.5602
Total step : 36400      Batch loss: 3.0069      Epoch average loss: 3.5588
Total step : 36500      Batch loss: 4.0360      Epoch average loss: 3.5574
Total step : 36600      Batch loss: 3.3817      Epoch average loss: 3.5558
Total step : 36700      Batch loss: 3.3391      Epoch average loss: 3.5545
Total step : 36800      Batch loss: 2.8384      Epoch average loss: 3.5528
Total step : 36900      Batch loss: 3.3088      Epoch average loss: 3.5512
Total step : 37000      Batch loss: 3.4807      Epoch average loss: 3.5498
Total step : 37100      Batch loss: 3.0711      Epoch average loss: 3.5485
Total step : 37200      Batch loss: 4.1633      Epoch average loss: 3.5470
Total step : 37300      Batch loss: 2.7751      Epoch average loss: 3.5456
Total step : 37400      Batch loss: 2.9105      Epoch average loss: 3.5442
Total step : 37500      Batch loss: 2.9582      Epoch average loss: 3.5427
Total step : 37600      Batch loss: 3.7341      Epoch average loss: 3.5414
